office,district_id,district,district_md_ref,district_web_ref,legislator,party,city_town,percent,PVI,PVI_N,summary
State Representative,58808,Eighteenth Middlesex,[Eighteenth Middlesex](state-rep-eighteenth-middlesex.html),<a href=state-rep-eighteenth-middlesex.html>Eighteenth Middlesex</a>,Tara Thorn Hong (D-Lowell),Democratic,Lowell,0.7833264548080892,D+16,16.207433520760773,"The Massachusetts Eighteenth Middlesex State Representative District is located entirely within Lowell and is currently represented by Democratic incumbent Tara Thorn Hong, who won the seat in the 2024 election with 78% of the vote. The district has a highly diverse population with 62% minority residents and includes 16 precincts in Lowell."
State Representative,58872,Eighteenth Suffolk,[Eighteenth Suffolk](state-rep-eighteenth-suffolk.html),<a href=state-rep-eighteenth-suffolk.html>Eighteenth Suffolk</a>,Michael J. Moran (D-Boston),Democratic,Boston,1.0,D+32,32.24326095057036,"The Massachusetts Eighteenth Suffolk State Representative District is currently represented by Democratic incumbent Michael J. Moran of Boston. The district includes portions of Boston and Cambridge, covering approximately 3 square miles with a population of 38,620 residents."
State Representative,58891,Eighteenth Worcester,[Eighteenth Worcester](state-rep-eighteenth-worcester.html),<a href=state-rep-eighteenth-worcester.html>Eighteenth Worcester</a>,Joseph D. Mckenna (R-Sutton),Republican,Sutton,1.0,R+4,-3.936739124273342,"The 18th Worcester State Representative District of Massachusetts encompasses the towns of Douglas, Webster, Sutton, as well as parts of Oxford (precincts 1, 4) and Uxbridge (precinct 1). The current incumbent is Republican Joseph D. McKenna from Sutton, who has held the seat since 2014 when he defeated Democrat Mark G. Dowgiewicz. The district is predominantly white (85%) with a poverty rate of 8% and covers approximately 105 square miles."
State Representative,58749,Eighth Bristol,[Eighth Bristol](state-rep-eighth-bristol.html),<a href=state-rep-eighth-bristol.html>Eighth Bristol</a>,Steven J. Ouellette (D-Westport),Democratic,Westport,0.3386637755793468,R+4,-4.073253942758543,"The Eighth Bristol State Representative District is located in southeastern Massachusetts and includes portions of Acushnet, Fall River, Freetown, New Bedford, and Westport. The district has a population of 44,541 and is predominantly white (88%). Steven J. Ouellette (Democrat) is the incumbent, having won a close three-way race in 2024 with 40% of the vote."
State Representative,58763,Eighth Essex,[Eighth Essex](state-rep-eighth-essex.html),<a href=state-rep-eighth-essex.html>Eighth Essex</a>,Jennifer Wb Armini (D-Marblehead),Democratic,Marblehead,1.0,D+21,20.78568625456065,"The Eighth Essex State Representative District is a Massachusetts legislative district covering parts of Lynn, Marblehead, and Swampscott. The incumbent is Jennifer Wb Armini (Democrat from Marblehead), who has held the position since 2022."
State Representative,58783,Eighth Hampden,[Eighth Hampden](state-rep-eighth-hampden.html),<a href=state-rep-eighth-hampden.html>Eighth Hampden</a>,Shirley B. Arriaga (D-Chicopee),Democratic,Chicopee,1.0,D+4,4.207007404892183,"The Massachusetts Eighth Hampden State Representative District encompasses 14 precincts in Chicopee, with a population of 42,710 residents. The current incumbent is Democrat Shirley B. Arriaga from Chicopee, who succeeded longtime representative Joseph F. Wagner in 2022."
State Representative,58798,Eighth Middlesex,[Eighth Middlesex](state-rep-eighth-middlesex.html),<a href=state-rep-eighth-middlesex.html>Eighth Middlesex</a>,James Arena-DeRosa (D-Holliston),Democratic,Holliston,1.0,D+19,19.294087820784167,"The Massachusetts Eighth Middlesex State Representative District includes Holliston, Hopkinton, parts of Millis (precincts 2, 3), and Sherborn. The incumbent is Democrat James Arena-DeRosa of Holliston, who was first elected in 2022 and is running unopposed for reelection in 2024."
State Representative,58835,Eighth Norfolk,[Eighth Norfolk](state-rep-eighth-norfolk.html),<a href=state-rep-eighth-norfolk.html>Eighth Norfolk</a>,Ted Philips (D-Sharon),Democratic,Sharon,1.0,D+18,17.577197819863,"The Eighth Norfolk State Representative District in Massachusetts is currently represented by Democrat Ted Philips of Sharon. The district covers portions of Mansfield, Sharon, Stoughton, and Walpole with a population of approximately 43,000 residents."
State Representative,58850,Eighth Plymouth,[Eighth Plymouth](state-rep-eighth-plymouth.html),<a href=state-rep-eighth-plymouth.html>Eighth Plymouth</a>,Dennis C. Gallagher (D-Bridgewater),Democratic,Bridgewater,0.5051104972375691,EVEN,-0.0836044244397871,"The Massachusetts Eighth Plymouth State Representative District is currently represented by Democrat Dennis C. Gallagher of Bridgewater, who won the seat in the 2024 election with 51% of the vote over Republican Sandra Wright. The district encompasses parts of Bridgewater and Raynham, with a population of approximately 44,000 residents."
State Representative,58862,Eighth Suffolk,[Eighth Suffolk](state-rep-eighth-suffolk.html),<a href=state-rep-eighth-suffolk.html>Eighth Suffolk</a>,Jay D. Livingstone (D-Boston),Democratic,Boston,1.0,D+34,33.77894907934677,"The Massachusetts Eighth Suffolk State Representative District is currently represented by Democratic incumbent Jay D. Livingstone of Boston, who has held the seat since winning a special election in 2013. The district is located entirely within Boston, covering portions of the city across 18 precincts. It is a compact urban district with an area of just 1 square mile and a population of 41,784."
State Representative,58881,Eighth Worcester,[Eighth Worcester](state-rep-eighth-worcester.html),<a href=state-rep-eighth-worcester.html>Eighth Worcester</a>,Michael J. Soter (R-Bellingham),Republican,Bellingham,1.0,EVEN,-0.0814030930101239,"The Massachusetts Eighth Worcester State Representative District is currently represented by Republican Michael J. Soter of Bellingham, who has held the seat since winning election in 2018. The district covers portions of Bellingham, Blackstone, Medway, Millville, and Uxbridge, with a population of approximately 43,499 residents."
State Representative,58752,Eleventh Bristol,[Eleventh Bristol](state-rep-eleventh-bristol.html),<a href=state-rep-eleventh-bristol.html>Eleventh Bristol</a>,Christopher Hendricks (D-New Bedford),Democratic,New Bedford,1.0,D+10,9.805807506644925,"The Massachusetts Eleventh Bristol State Representative District covers parts of New Bedford and is currently represented by Democratic incumbent Christopher Hendricks of New Bedford. The district has been consistently held by Democrats, with Hendricks winning uncontested elections since 2018."
State Representative,58766,Eleventh Essex,[Eleventh Essex](state-rep-eleventh-essex.html),<a href=state-rep-eleventh-essex.html>Eleventh Essex</a>,Sean Reid (D-Lynn),Democratic,Lynn,1.0,D+16,16.037690264568226,"The Massachusetts Eleventh Essex State Representative District is located in Lynn and Nahant, with a majority-minority population (63%). The incumbent is Democrat Sean Reid of Lynn, who succeeded Peter L. Capano in 2024."
State Representative,58786,Eleventh Hampden,[Eleventh Hampden](state-rep-eleventh-hampden.html),<a href=state-rep-eleventh-hampden.html>Eleventh Hampden</a>,Bud L. Williams (D-Springfield),Democratic,Springfield,1.0,D+26,25.612769986504254,"The Massachusetts Eleventh Hampden State Representative District covers sections of Springfield and is currently represented by Democrat Bud L. Williams. The district has a diverse population with 73% minority residents, and Williams has represented the district since 2016, winning his most recent elections with 100% of the vote."
State Representative,58801,Eleventh Middlesex,[Eleventh Middlesex](state-rep-eleventh-middlesex.html),<a href=state-rep-eleventh-middlesex.html>Eleventh Middlesex</a>,Amy Mah Sangiolo (D-Newton),Democratic,Newton,0.8127065914835699,D+33,32.609768305001715,"This district is located entirely in Newton, Massachusetts, covering 16 precincts within the city. The current representative is Amy Mah Sangiolo (D-Newton), who won the most recent election in November 2024 with 81% of the vote against Republican challenger Vladislav S. Yanovsky. Prior to Sangiolo, Kay S. Khan (D-Newton) represented the district for many years, often running unopposed."
State Representative,58838,Eleventh Norfolk,[Eleventh Norfolk](state-rep-eleventh-norfolk.html),<a href=state-rep-eleventh-norfolk.html>Eleventh Norfolk</a>,Paul McMurtry (D-Dedham),Democratic,Dedham,0.6809930371352785,D+15,14.98012557045928,"The Massachusetts Eleventh Norfolk State Representative District is currently represented by incumbent Democrat Paul McMurtry of Dedham, who has held the seat since 2007. The district includes areas of Dedham, Walpole, and Westwood, with a predominantly white population (80%) and covering approximately 26 square miles in the Norfolk County area."
State Representative,58853,Eleventh Plymouth,[Eleventh Plymouth](state-rep-eleventh-plymouth.html),<a href=state-rep-eleventh-plymouth.html>Eleventh Plymouth</a>,Rita A. Mendes (D-Brockton),Democratic,Brockton,1.0,D+30,30.084495484942885,"The Massachusetts Eleventh Plymouth State Representative District is located entirely within the city of Brockton, covering 11 precincts. The district is currently represented by incumbent Democratic State Representative Rita A. Mendes of Brockton, who was first elected in 2022 and is running unopposed in 2024."
State Representative,58865,Eleventh Suffolk,[Eleventh Suffolk](state-rep-eleventh-suffolk.html),<a href=state-rep-eleventh-suffolk.html>Eleventh Suffolk</a>,Judith A. Garcia (D-Chelsea),Democratic,Chelsea,1.0,D+23,22.74509920588844,"The Massachusetts Eleventh Suffolk State Representative District covers parts of Chelsea and Everett, with a diverse population that is predominantly Hispanic (65%). The current incumbent is Democratic Representative Judith A. Garcia of Chelsea, who was first elected in 2022, winning with 73% of the vote against Republican Todd B. Taylor."
State Representative,58884,Eleventh Worcester,[Eleventh Worcester](state-rep-eleventh-worcester.html),<a href=state-rep-eleventh-worcester.html>Eleventh Worcester</a>,Hannah E. Kane (R-Shrewsbury),Republican,Shrewsbury,1.0,D+14,13.500840747664457,"The Massachusetts Eleventh Worcester State Representative District comprises Shrewsbury and parts of Westborough, covering 26 square miles with a population of 42,109. The current incumbent is Republican Hannah E. Kane of Shrewsbury, who has held the seat since winning a special election in 2015."
State Representative,58770,Fifteenth Essex,[Fifteenth Essex](state-rep-fifteenth-essex.html),<a href=state-rep-fifteenth-essex.html>Fifteenth Essex</a>,Ryan M. Hamilton (D-Methuen),Democratic,Methuen,1.0,D+3,2.523134863947629,"The Massachusetts Fifteenth Essex State Representative District is represented by Ryan M. Hamilton (D-Methuen), who has won uncontested races in 2022 and 2024. The district covers parts of Haverhill and Methuen, with a population of 46,016 that is 70% white and 30% minority."
State Representative,58805,Fifteenth Middlesex,[Fifteenth Middlesex](state-rep-fifteenth-middlesex.html),<a href=state-rep-fifteenth-middlesex.html>Fifteenth Middlesex</a>,Michelle Ciccolo (D-Lexington),Democratic,Lexington,1.0,D+24,24.456859254907105,"The Fifteenth Middlesex State Representative District in Massachusetts includes portions of Lexington, Winchester, and Woburn, with a population of 41,829. The district is currently represented by incumbent Democrat Michelle Ciccolo of Lexington, who has held the seat since 2018 and has run unopposed in recent elections."
State Representative,58842,Fifteenth Norfolk,[Fifteenth Norfolk](state-rep-fifteenth-norfolk.html),<a href=state-rep-fifteenth-norfolk.html>Fifteenth Norfolk</a>,Tommy Vitolo (D-Brookline),Democratic,Brookline,1.0,D+39,38.82729550607576,"The Massachusetts Fifteenth Norfolk State Representative District is located entirely in Brookline, encompassing 13 precincts. The current incumbent is Democratic Representative Tommy Vitolo of Brookline, who has represented the district since 2018 and has run unopposed in all of his elections."
State Representative,58869,Fifteenth Suffolk,[Fifteenth Suffolk](state-rep-fifteenth-suffolk.html),<a href=state-rep-fifteenth-suffolk.html>Fifteenth Suffolk</a>,Samantha Montaño (D-Boston),Democratic,Boston,1.0,D+42,41.657745277719194,"The Massachusetts Fifteenth Suffolk State Representative District is a legislative district located in Boston, covering 19 precincts across multiple Boston neighborhoods. The current incumbent is Democratic Representative Samantha Montaño of Boston, who has served since 2022 after winning uncontested elections in both 2022 and 2024."
State Representative,58888,Fifteenth Worcester,[Fifteenth Worcester](state-rep-fifteenth-worcester.html),<a href=state-rep-fifteenth-worcester.html>Fifteenth Worcester</a>,Mary S. Keefe (D-Worcester),Democratic,Worcester,1.0,D+19,18.9521340273064,"The Massachusetts Fifteenth Worcester State Representative District is located entirely within Worcester, including parts of several precincts. It is currently represented by Democratic incumbent Mary S. Keefe of Worcester, who has held the seat since 2012 and has run unopposed in most recent elections."
State Representative,58737,Fifth Barnstable,[Fifth Barnstable](state-rep-fifth-barnstable.html),<a href=state-rep-fifth-barnstable.html>Fifth Barnstable</a>,Steven G. Xiarhos (R-Barnstable),Republican,Barnstable,0.6138858705833864,D+3,3.027405835365382,"The Massachusetts Fifth Barnstable State Representative District covers portions of Barnstable, Bourne, and Sandwich with a population of 41,150. The district is currently represented by Republican incumbent Steven G. Xiarhos of Barnstable, who won reelection in 2024 with 61% of the vote against Democratic challenger Owen G. Fletcher."
State Representative,58746,Fifth Bristol,[Fifth Bristol](state-rep-fifth-bristol.html),<a href=state-rep-fifth-bristol.html>Fifth Bristol</a>,Justin Thurber (R-Somerset),Republican,Somerset,0.5194097426008216,R+2,-1.8709180290921223,"This Massachusetts Fifth Bristol State Representative District is currently represented by Patricia A. Haddad (D-Somerset), who was recently defeated by Justin Thurber (R-Somerset) in the 2024 election. The district includes parts of Dighton, Somerset, Swansea, and Taunton."
State Representative,58760,Fifth Essex,[Fifth Essex](state-rep-fifth-essex.html),<a href=state-rep-fifth-essex.html>Fifth Essex</a>,Ann-Margaret Ferrante (D-Gloucester),Democratic,Gloucester,0.6669775771368877,D+18,17.85341745630433,"The Massachusetts Fifth Essex State Representative District encompasses Essex, Gloucester, Manchester-by-the-Sea, and Rockport, with a population of approximately 44,000. It is currently represented by incumbent Ann-Margaret Ferrante, a Democrat from Gloucester who has held the seat since 2008 and most recently won reelection in 2024 with 67% of the vote against an unenrolled candidate."
State Representative,58780,Fifth Hampden,[Fifth Hampden](state-rep-fifth-hampden.html),<a href=state-rep-fifth-hampden.html>Fifth Hampden</a>,Patricia A. Duffy (D-Holyoke),Democratic,Holyoke,1.0,D+16,15.997787095997584,"The Fifth Hampden State Representative District in Massachusetts encompasses parts of Chicopee and Holyoke, covering 23 square miles with a population of 42,111. The current incumbent is Patricia A. Duffy, a Democrat from Holyoke, who has represented the district since 2020 after winning uncontested elections."
State Representative,58795,Fifth Middlesex,[Fifth Middlesex](state-rep-fifth-middlesex.html),<a href=state-rep-fifth-middlesex.html>Fifth Middlesex</a>,David Paul Linsky (D-Natick),Democratic,Natick,1.0,D+26,25.65454609305861,"The Massachusetts Fifth Middlesex State Representative District is currently represented by incumbent David Paul Linsky (D-Natick), who has held the seat since 1999. The district encompasses parts of Natick and precincts 2 and 3 of Wayland."
State Representative,58832,Fifth Norfolk,[Fifth Norfolk](state-rep-fifth-norfolk.html),<a href=state-rep-fifth-norfolk.html>Fifth Norfolk</a>,Mark J. Cusack (D-Braintree),Democratic,Braintree,1.0,D+6,5.857836708968877,"The Fifth Norfolk State Representative District is located in Massachusetts and includes parts of Braintree and precincts 1 and 2 of Holbrook. The current incumbent is Mark J. Cusack, a Democrat from Braintree who has held this seat since 2010 and ran unopposed in the 2022 and 2024 elections."
State Representative,58847,Fifth Plymouth,[Fifth Plymouth](state-rep-fifth-plymouth.html),<a href=state-rep-fifth-plymouth.html>Fifth Plymouth</a>,David F. Decoste (R-Norwell),Republican,Norwell,1.0,D+1,1.3562480036048208,"The Massachusetts Fifth Plymouth State Representative District is currently represented by Republican incumbent David F. Decoste of Norwell, who is running unopposed in the 2024 election. The district includes the towns of Hanover, Hanson, Norwell, and Rockland in Plymouth County."
State Representative,58859,Fifth Suffolk,[Fifth Suffolk](state-rep-fifth-suffolk.html),<a href=state-rep-fifth-suffolk.html>Fifth Suffolk</a>,Christopher J. Worrell (D-Boston),Democratic,Boston,1.0,D+37,37.37099425293046,"The Fifth Suffolk State Representative District is located in Boston, encompassing parts of neighborhoods including Dorchester and Roxbury. The district is currently represented by Democratic incumbent Christopher J. Worrell of Boston, who was first elected in 2022. The district is majority-minority with 92% of residents identifying as non-white, particularly Black (48%) and Hispanic (29%) populations."
State Representative,58878,Fifth Worcester,[Fifth Worcester](state-rep-fifth-worcester.html),<a href=state-rep-fifth-worcester.html>Fifth Worcester</a>,"Donald R. Berthiaume, Jr (R-Spencer)",Republican,Spencer,1.0,R+4,-4.109918060503115,"The Fifth Worcester State Representative District is currently represented by Republican Donald R. Berthiaume, Jr. of Spencer, who has held the seat since 2014. The district encompasses several rural towns in central Massachusetts, including Barre, Brookfield, East Brookfield, Hardwick, Hubbardston, parts of Leicester and Spencer, New Braintree, North Brookfield, Oakham, part of Ware, and West Brookfield."
State Representative,58733,First Barnstable,[First Barnstable](state-rep-first-barnstable.html),<a href=state-rep-first-barnstable.html>First Barnstable</a>,Christopher Richard Flanagan (D-Dennis),Democratic,Dennis,0.5654095569322175,D+11,10.95319772217448,"The Massachusetts First Barnstable State Representative District encompasses the towns of Brewster and Dennis, along with precincts 1, 2, 3, 4, 7, and 8 of Yarmouth on Cape Cod. The current incumbent is Democrat Christopher Richard Flanagan of Dennis, who was first elected in 2022 and won re-election in 2024 with 57% of the vote."
State Representative,58738,First Berkshire,[First Berkshire](state-rep-first-berkshire.html),<a href=state-rep-first-berkshire.html>First Berkshire</a>,"John P. Barrett, III (D-North Adams)",Democratic,North Adams,1.0,D+17,16.790556878620688,"The Massachusetts First Berkshire State Representative District is currently represented by incumbent Democrat John P. Barrett, III of North Adams. The district encompasses several communities in northwestern Massachusetts including North Adams, Williamstown, Adams, and surrounding towns in Berkshire County."
State Representative,58742,First Bristol,[First Bristol](state-rep-first-bristol.html),<a href=state-rep-first-bristol.html>First Bristol</a>,Michael Chaisson (R-Foxborough),Republican,Foxborough,0.5019366197183098,D+8,7.547209052382986,"The Massachusetts First Bristol State Representative District is currently represented by Republican Fred Jay Barrows from Mansfield, who has held the seat since winning a 2006 special election. The district includes portions of Foxborough, Mansfield, and Norton in southeastern Massachusetts."
State Representative,58756,First Essex,[First Essex](state-rep-first-essex.html),<a href=state-rep-first-essex.html>First Essex</a>,Dawne Frances Shand (D-Newburyport),Democratic,Newburyport,1.0,D+14,14.369170130136366,"The Massachusetts First Essex State Representative District is currently represented by Dawne Frances Shand, a Democrat from Newburyport who was elected in 2022 and is running unopposed in 2024. The district includes parts of Amesbury along with the full municipalities of Merrimac, Newburyport, and Salisbury in northeastern Massachusetts."
State Representative,58774,First Franklin,[First Franklin](state-rep-first-franklin.html),<a href=state-rep-first-franklin.html>First Franklin</a>,Natalie M. Blais (D-Deerfield),Democratic,Deerfield,1.0,D+24,23.610433703863553,"The Massachusetts First Franklin State Representative District is located in western Massachusetts, covering all or part of 18 cities/towns including portions of Greenfield and communities like Deerfield, Montague, and Sunderland. The current incumbent is Democratic Representative Natalie M. Blais of Deerfield, who has represented the district since 2018 and has run unopposed in all her elections."
State Representative,58776,First Hampden,[First Hampden](state-rep-first-hampden.html),<a href=state-rep-first-hampden.html>First Hampden</a>,Todd M. Smola (R-Warren),Republican,Warren,1.0,R+3,-2.948641469389318,"The Massachusetts First Hampden State Representative District encompasses Brimfield, Holland, Palmer, Sturbridge, Wales, parts of Ware (precincts B and C), and Warren, covering 197 square miles in western Massachusetts. The district is currently represented by Republican incumbent Todd M. Smola of Warren, who has held the seat since 2004 and was most recently reelected in 2022 without opposition."
State Representative,58788,First Hampshire,[First Hampshire](state-rep-first-hampshire.html),<a href=state-rep-first-hampshire.html>First Hampshire</a>,Lindsay N. Sabadosa (D-Northampton),Democratic,Northampton,1.0,D+32,31.818311968329883,"This Massachusetts State Representative district, known as the First Hampshire District, includes Northampton and surrounding towns. The current incumbent is Lindsay N. Sabadosa (D-Northampton), who has represented the district since winning election in 2018 and has run unopposed in all her elections."
State Representative,58791,First Middlesex,[First Middlesex](state-rep-first-middlesex.html),<a href=state-rep-first-middlesex.html>First Middlesex</a>,Margaret R. Scarsdale (D-Pepperell),Democratic,Pepperell,0.5134960952308742,D+5,4.865775599005251,"The Massachusetts First Middlesex State Representative District is currently represented by Democrat Margaret R. Scarsdale of Pepperell, who narrowly won the 2024 election with 51% of the vote. The district covers portions of Middlesex County including the towns of Ashby, Dunstable, parts of Groton, parts of Lunenburg, Pepperell, and Townsend."
State Representative,58828,First Norfolk,[First Norfolk](state-rep-first-norfolk.html),<a href=state-rep-first-norfolk.html>First Norfolk</a>,Bruce J. Ayers (D-Quincy),Democratic,Quincy,1.0,D+16,16.38792074222033,"The First Norfolk State Representative District in Massachusetts covers parts of Quincy and Randolph, comprising about 49,065 residents across 13 square miles. The district is currently represented by Bruce J. Ayers, a Democrat from Quincy who has been consistently reelected without opposition since 2006, with his most recent contested election being in 2004."
State Representative,58843,First Plymouth,[First Plymouth](state-rep-first-plymouth.html),<a href=state-rep-first-plymouth.html>First Plymouth</a>,Michelle L. Badger (D-Plymouth),Democratic,Plymouth,0.5226658455643368,D+5,4.997793416536966,"The Massachusetts First Plymouth State Representative District is represented by incumbent Michelle L. Badger (Democrat) who won the most recent election in 2024. The district is located in Plymouth, encompassing 13 precincts in the town, with a predominantly white population (91%) and covers approximately 93 square miles."
State Representative,58855,First Suffolk,[First Suffolk](state-rep-first-suffolk.html),<a href=state-rep-first-suffolk.html>First Suffolk</a>,Adrian C. Madaro (D-Boston),Democratic,Boston,1.0,D+24,23.57026151586974,"The First Suffolk State Representative District is a legislative district in Massachusetts covering parts of Boston, represented by incumbent Democrat Adrian C. Madaro. The district has a diverse population that is predominantly Hispanic (55%), with a total minority population of 66%."
State Representative,58874,First Worcester,[First Worcester](state-rep-first-worcester.html),<a href=state-rep-first-worcester.html>First Worcester</a>,Kimberly N. Ferguson (R-Holden),Republican,Holden,0.6980924152606779,D+4,4.143231379634615,"The Massachusetts First Worcester State Representative District is currently represented by Republican Kimberly N. Ferguson from Holden. The district includes the communities of Holden, Paxton, Princeton, Rutland, and Westminster in central Massachusetts, covering 161 square miles with a population of 45,656."
State Representative,58755,Fourteenth Bristol,[Fourteenth Bristol](state-rep-fourteenth-bristol.html),<a href=state-rep-fourteenth-bristol.html>Fourteenth Bristol</a>,Adam J. Scanlon (D-North Attleborough),Democratic,North Attleborough,0.5595264786332451,D+6,6.293451731024657,"The Massachusetts Fourteenth Bristol State Representative District is currently represented by Democrat Adam J. Scanlon of North Attleborough, who was most recently reelected in 2024. The district encompasses portions of Attleboro, Mansfield, and North Attleborough with a population of approximately 42,608."
State Representative,58769,Fourteenth Essex,[Fourteenth Essex](state-rep-fourteenth-essex.html),<a href=state-rep-fourteenth-essex.html>Fourteenth Essex</a>,Adrianne Pusateri Ramos (D-North Andover),Democratic,North Andover,1.0,D+10,10.383075638402916,"The Massachusetts Fourteenth Essex State Representative District is currently represented by Adrianne Pusateri Ramos (D-North Andover), who was elected in 2022. The district covers parts of Amesbury, Boxford, and North Andover, as well as all of Groveland and West Newbury, with a total population of 46,221."
State Representative,58804,Fourteenth Middlesex,[Fourteenth Middlesex](state-rep-fourteenth-middlesex.html),<a href=state-rep-fourteenth-middlesex.html>Fourteenth Middlesex</a>,Simon Cataldo (D-Concord),Democratic,Concord,1.0,D+24,23.835172538761096,"The 14th Middlesex district is represented by incumbent Democrat Simon Cataldo of Concord. The district includes portions of Acton, all of Carlisle, parts of Chelmsford, and parts of Concord, covering an area of 53 square miles in Middlesex County."
State Representative,58841,Fourteenth Norfolk,[Fourteenth Norfolk](state-rep-fourteenth-norfolk.html),<a href=state-rep-fourteenth-norfolk.html>Fourteenth Norfolk</a>,Alice Hanlon Peisch (D-Wellesley),Democratic,Wellesley,1.0,D+26,26.216994822713747,"The Massachusetts Fourteenth Norfolk State Representative District is represented by incumbent Democrat Alice Hanlon Peisch of Wellesley. The district includes parts of Lincoln, Wellesley, and Weston, covering about 34 square miles with a population of approximately 44,653 people."
