office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,total_votes,blank_votes,all_other_votes,num_candidates,id_winner,name_winner,display_winner,city_town_winner,votes_winner,percent_winner,party_winner,id_incumbent,name_incumbent,display_incumbent,city_town_incumbent,party_incumbent,id_dem,name_dem,display_dem,city_town_dem,votes_dem,percent_dem,id_gop,name_gop,display_gop,city_town_gop,votes_gop,percent_gop,id_third_party,name_third_party,display_third_party,city_town_third_party,votes_third_party,percent_third_party,party_third_party,id_write_in,name_write_in,display_write_in,city_town_write_in,votes_write_in,percent_write_in,party_write_in,latest_general
Legislative,8,State Representative,Second Barnstable,2nd Barnstable,58734,165386,2024-11-05,FALSE,24742,878,31,2,82209,Kip A. Diggs,Kip A. Diggs (D-Barnstable),Barnstable,14147,0.5935887215205807,Democratic,82209,Kip A. Diggs,Kip A. Diggs (D-Barnstable),Barnstable,Democratic,82209,Kip A. Diggs,Kip A. Diggs (D-Barnstable),Barnstable,14147,0.5935887215205807,110219,Susanne H. Conley,Susanne H. Conley (R-Barnstable),Barnstable,9686,0.40641127847941927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Third Barnstable,3rd Barnstable,58735,165435,2024-11-05,FALSE,30473,1798,16,2,62662,David T. Vieira,David T. Vieira (R-Falmouth),Falmouth,16059,0.5603475348058201,Republican,62662,David T. Vieira,David T. Vieira (R-Falmouth),Falmouth,Republican,88350,Kathleen Fox Alfano,Kathleen Fox Alfano (D-Bourne),Bourne,12600,0.43965246519417983,62662,David T. Vieira,David T. Vieira (R-Falmouth),Falmouth,16059,0.5603475348058201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fourth Barnstable,4th Barnstable,58736,165455,2024-11-05,FALSE,30280,7228,303,1,110246,Hadley Luddy,Hadley Luddy (D-Orleans),Orleans,22749,1,Democratic,NA,NA,NA,NA,NA,110246,Hadley Luddy,Hadley Luddy (D-Orleans),Orleans,22749,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fifth Barnstable,5th Barnstable,58737,165385,2024-11-05,FALSE,27861,1147,25,2,88326,Steven G. Xiarhos,Steven G. Xiarhos (R-Barnstable),Barnstable,16384,0.6138858705833864,Republican,NA,NA,NA,NA,NA,93031,Owen G. Fletcher,Owen G. Fletcher (D-Barnstable),Barnstable,10305,0.3861141294166136,88326,Steven G. Xiarhos,Steven G. Xiarhos (R-Barnstable),Barnstable,16384,0.6138858705833864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,First Berkshire,1st Berkshire,58738,165324,2024-11-05,FALSE,22379,4463,131,1,68135,"John P. Barrett, III","John P. Barrett, III (D-North Adams)",North Adams,17785,1,Democratic,68135,"John P. Barrett, III","John P. Barrett, III (D-North Adams)",North Adams,Democratic,68135,"John P. Barrett, III","John P. Barrett, III (D-North Adams)",North Adams,17785,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Second Berkshire,2nd Berkshire,58739,165535,2024-11-05,FALSE,20946,4909,141,1,74627,Tricia Farley-Bouvier,Tricia Farley-Bouvier (D-Pittsfield),Pittsfield,15896,1,Democratic,74627,Tricia Farley-Bouvier,Tricia Farley-Bouvier (D-Pittsfield),Pittsfield,Democratic,74627,Tricia Farley-Bouvier,Tricia Farley-Bouvier (D-Pittsfield),Pittsfield,15896,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Third Berkshire,3rd Berkshire,58740,165332,2024-11-05,FALSE,26044,1957,46,2,110197,Leigh Susan Davis,Leigh Susan Davis (D-Great Barrington),Great Barrington,13819,0.5748097000956699,Democratic,NA,NA,NA,NA,NA,110197,Leigh Susan Davis,Leigh Susan Davis (D-Great Barrington),Great Barrington,13819,0.5748097000956699,NA,NA,NA,NA,NA,NA,110412,Marybeth F. Mitts,Marybeth F. Mitts (U-Lenox),Lenox,10222,0.4251902999043301,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,First Bristol,1st Bristol,58742,165486,2024-11-05,FALSE,24613,1878,15,2,88322,Michael Chaisson,Michael Chaisson (R-Foxborough),Foxborough,11404,0.5019366197183098,Republican,NA,NA,NA,NA,NA,110259,Kostas Loukos,Kostas Loukos (D-Mansfield),Mansfield,11316,0.4980633802816901,88322,Michael Chaisson,Michael Chaisson (R-Foxborough),Foxborough,11404,0.5019366197183098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Second Bristol,2nd Bristol,58743,165375,2024-11-05,FALSE,21416,2652,66,3,78500,James K. Hawkins,James K. Hawkins (D-Attleboro),Attleboro,12769,0.6829072628088566,Democratic,78500,James K. Hawkins,James K. Hawkins (D-Attleboro),Attleboro,Democratic,78500,James K. Hawkins,James K. Hawkins (D-Attleboro),Attleboro,12769,0.7829419339015268,NA,NA,NA,NA,NA,NA,110418,Andrew Nelson,Andrew Nelson (Other-Attleboro),Attleboro,3540,0.2170580660984732,Workers Party,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Third Bristol,3rd Bristol,58744,165478,2024-11-05,FALSE,22449,6806,245,1,110257,Carol Ann Doherty,Carol Ann Doherty (D-Taunton),Taunton,15398,1,Democratic,NA,NA,NA,NA,NA,110257,Carol Ann Doherty,Carol Ann Doherty (D-Taunton),Taunton,15398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fourth Bristol,4th Bristol,58745,165532,2024-11-05,FALSE,26222,6211,283,1,62689,Steven S. Howitt,Steven S. Howitt (R-Seekonk),Seekonk,19728,1,Republican,62689,Steven S. Howitt,Steven S. Howitt (R-Seekonk),Seekonk,Republican,NA,NA,NA,NA,NA,NA,62689,Steven S. Howitt,Steven S. Howitt (R-Seekonk),Seekonk,19728,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fifth Bristol,5th Bristol,58746,165469,2024-11-05,FALSE,25182,1313,15,2,88372,Justin Thurber,Justin Thurber (R-Somerset),Somerset,12390,0.5194097426008216,Republican,62691,Patricia A. Haddad,Patricia A. Haddad (D-Somerset),Somerset,Democratic,62691,Patricia A. Haddad,Patricia A. Haddad (D-Somerset),Somerset,11464,0.4805902573991783,88372,Justin Thurber,Justin Thurber (R-Somerset),Somerset,12390,0.5194097426008216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Sixth Bristol,6th Bristol,58747,165483,2024-11-05,FALSE,16790,4600,424,1,72311,Carole A. Fiola,Carole A. Fiola (D-Fall River),Fall River,11766,1,Democratic,72311,Carole A. Fiola,Carole A. Fiola (D-Fall River),Fall River,Democratic,72311,Carole A. Fiola,Carole A. Fiola (D-Fall River),Fall River,11766,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Seventh Bristol,7th Bristol,58748,165482,2024-11-05,FALSE,11733,2912,265,1,62696,Alan Silvia,Alan Silvia (D-Fall River),Fall River,8556,1,Democratic,62696,Alan Silvia,Alan Silvia (D-Fall River),Fall River,Democratic,62696,Alan Silvia,Alan Silvia (D-Fall River),Fall River,8556,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Eighth Bristol,8th Bristol,58749,165317,2024-11-05,FALSE,23941,1780,24,5,110191,Steven J. Ouellette,Steven J. Ouellette (D-Westport),Westport,7497,0.3386637755793468,Democratic,NA,NA,NA,NA,NA,110191,Steven J. Ouellette,Steven J. Ouellette (D-Westport),Westport,7497,0.3953071447403111,110192,Christopher Thrasher,Christopher Thrasher (R-Westport),Westport,7236,0.3815449512259425,110410,Jesse W. St. Gelais,Jesse W. St. Gelais (U-Acushnet),Acushnet,4232,0.22314790403374635,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Ninth Bristol,9th Bristol,58750,165467,2024-11-05,FALSE,22952,6142,183,1,62701,Christopher M. Markey,Christopher M. Markey (D-Dartmouth),Dartmouth,16627,1,Democratic,62701,Christopher M. Markey,Christopher M. Markey (D-Dartmouth),Dartmouth,Democratic,62701,Christopher M. Markey,Christopher M. Markey (D-Dartmouth),Dartmouth,16627,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Tenth Bristol,10th Bristol,58751,165318,2024-11-05,FALSE,27230,1249,23,2,110193,Mark David Sylvia,Mark David Sylvia (D-Fairhaven),Fairhaven,13663,0.5263502581092534,Democratic,NA,NA,NA,NA,NA,110193,Mark David Sylvia,Mark David Sylvia (D-Fairhaven),Fairhaven,13663,0.5263502581092534,110194,Joseph M. Pires,Joseph M. Pires (R-Rochester),Rochester,12295,0.4736497418907466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Eleventh Bristol,11th Bristol,58752,165528,2024-11-05,FALSE,11770,2496,334,1,78542,Christopher Hendricks,Christopher Hendricks (D-New Bedford),New Bedford,8940,1,Democratic,78542,Christopher Hendricks,Christopher Hendricks (D-New Bedford),New Bedford,Democratic,78542,Christopher Hendricks,Christopher Hendricks (D-New Bedford),New Bedford,8940,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Twelfth Bristol,12th Bristol,58753,165397,2024-11-05,FALSE,25988,6993,238,1,78295,Norman J. Orrall,Norman J. Orrall (R-Lakeville),Lakeville,18757,1,Republican,78295,Norman J. Orrall,Norman J. Orrall (R-Lakeville),Lakeville,Republican,NA,NA,NA,NA,NA,NA,78295,Norman J. Orrall,Norman J. Orrall (R-Lakeville),Lakeville,18757,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Thirteenth Bristol,13th Bristol,58754,165529,2024-11-05,FALSE,14944,3028,355,1,88412,Antonio d. F. Cabral,Antonio d. F. Cabral (D-New Bedford),New Bedford,11561,1,Democratic,88412,Antonio d. F. Cabral,Antonio d. F. Cabral (D-New Bedford),New Bedford,Democratic,88412,Antonio d. F. Cabral,Antonio d. F. Cabral (D-New Bedford),New Bedford,11561,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fourteenth Bristol,14th Bristol,58755,165374,2024-11-05,FALSE,23655,1350,4,2,82188,Adam J. Scanlon,Adam J. Scanlon (D-North Attleborough),North Attleborough,12478,0.5595264786332451,Democratic,82188,Adam J. Scanlon,Adam J. Scanlon (D-North Attleborough),North Attleborough,Democratic,82188,Adam J. Scanlon,Adam J. Scanlon (D-North Attleborough),North Attleborough,12478,0.5595264786332451,88318,David B. Cannata,David B. Cannata (R-North Attleborough),North Attleborough,9823,0.44047352136675483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,First Essex,1st Essex,58756,165337,2024-11-05,FALSE,29332,8308,303,1,110203,Dawne Frances Shand,Dawne Frances Shand (D-Newburyport),Newburyport,20721,1,Democratic,NA,NA,NA,NA,NA,110203,Dawne Frances Shand,Dawne Frances Shand (D-Newburyport),Newburyport,20721,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Second Essex,2nd Essex,58757,165491,2024-11-05,FALSE,31330,1686,19,2,88388,Kristin E. Kassner,Kristin E. Kassner (D-Hamilton),Hamilton,16063,0.542210970464135,Democratic,88388,Kristin E. Kassner,Kristin E. Kassner (D-Hamilton),Hamilton,Democratic,88388,Kristin E. Kassner,Kristin E. Kassner (D-Hamilton),Hamilton,16063,0.542210970464135,89477,Mark T. Tashjian,Mark T. Tashjian (R-Georgetown),Georgetown,13562,0.457789029535865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Third Essex,3rd Essex,58758,165496,2024-11-05,FALSE,19829,5545,86,1,78494,Andres X. Vargas,Andres X. Vargas (D-Haverhill),Haverhill,14198,1,Democratic,78494,Andres X. Vargas,Andres X. Vargas (D-Haverhill),Haverhill,Democratic,78494,Andres X. Vargas,Andres X. Vargas (D-Haverhill),Haverhill,14198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fourth Essex,4th Essex,58759,165502,2024-11-05,FALSE,12375,2684,406,1,88396,Estela A. Reyes,Estela A. Reyes (D-Lawrence),Lawrence,9285,1,Democratic,88396,Estela A. Reyes,Estela A. Reyes (D-Lawrence),Lawrence,Democratic,88396,Estela A. Reyes,Estela A. Reyes (D-Lawrence),Lawrence,9285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fifth Essex,5th Essex,58760,165479,2024-11-05,FALSE,29250,2378,69,2,62720,Ann-Margaret Ferrante,Ann-Margaret Ferrante (D-Gloucester),Gloucester,17877,0.6669775771368877,Democratic,62720,Ann-Margaret Ferrante,Ann-Margaret Ferrante (D-Gloucester),Gloucester,Democratic,62720,Ann-Margaret Ferrante,Ann-Margaret Ferrante (D-Gloucester),Gloucester,17877,0.6669775771368877,NA,NA,NA,NA,NA,NA,110424,"Steven G. Leblanc, Jr","Steven G. Leblanc, Jr (U-Gloucester)",Gloucester,8926,0.33302242286311234,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Sixth Essex,6th Essex,58761,165401,2024-11-05,FALSE,24855,1482,11,3,62723,Jerald A. Parisella,Jerald A. Parisella (D-Beverly),Beverly,16598,0.7104699940073624,Democratic,62723,Jerald A. Parisella,Jerald A. Parisella (D-Beverly),Beverly,Democratic,62723,Jerald A. Parisella,Jerald A. Parisella (D-Beverly),Beverly,16598,0.7104699940073624,88334,Ty Vitale,Ty Vitale (R-Beverly),Beverly,5548,0.23747966783665783,78152,Euplio R. Marciano,Euplio R. Marciano (U-Beverly),Beverly,1216,0.05205033815597979,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Seventh Essex,7th Essex,58762,165542,2024-11-05,FALSE,23404,4726,130,1,88417,Manny Cruz,Manny Cruz (D-Salem),Salem,18548,1,Democratic,88417,Manny Cruz,Manny Cruz (D-Salem),Salem,Democratic,88417,Manny Cruz,Manny Cruz (D-Salem),Salem,18548,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Eighth Essex,8th Essex,58763,165510,2024-11-05,FALSE,25566,6630,293,1,88400,Jennifer Wb Armini,Jennifer Wb Armini (D-Marblehead),Marblehead,18643,1,Democratic,88400,Jennifer Wb Armini,Jennifer Wb Armini (D-Marblehead),Marblehead,Democratic,88400,Jennifer Wb Armini,Jennifer Wb Armini (D-Marblehead),Marblehead,18643,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Ninth Essex,9th Essex,58764,165512,2024-11-05,FALSE,25466,7157,195,1,62732,Donald H. Wong,Donald H. Wong (R-Saugus),Saugus,18114,1,Republican,62732,Donald H. Wong,Donald H. Wong (R-Saugus),Saugus,Republican,NA,NA,NA,NA,NA,NA,62732,Donald H. Wong,Donald H. Wong (R-Saugus),Saugus,18114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Tenth Essex,10th Essex,58765,165513,2024-11-05,FALSE,13176,2567,357,1,70679,Daniel H. Cahill,Daniel H. Cahill (D-Lynn),Lynn,10252,1,Democratic,70679,Daniel H. Cahill,Daniel H. Cahill (D-Lynn),Lynn,Democratic,70679,Daniel H. Cahill,Daniel H. Cahill (D-Lynn),Lynn,10252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Eleventh Essex,11th Essex,58766,165511,2024-11-05,FALSE,14828,3162,438,1,110264,Sean Reid,Sean Reid (D-Lynn),Lynn,11228,1,Democratic,NA,NA,NA,NA,NA,110264,Sean Reid,Sean Reid (D-Lynn),Lynn,11228,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Twelfth Essex,12th Essex,58767,165534,2024-11-05,FALSE,22964,5306,464,1,70044,Thomas P. Walsh,Thomas P. Walsh (D-Peabody),Peabody,17194,1,Democratic,70044,Thomas P. Walsh,Thomas P. Walsh (D-Peabody),Peabody,Democratic,70044,Thomas P. Walsh,Thomas P. Walsh (D-Peabody),Peabody,17194,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Thirteenth Essex,13th Essex,58768,165466,2024-11-05,FALSE,27882,8771,365,1,70818,Sally P. Kerans,Sally P. Kerans (D-Danvers),Danvers,18746,1,Democratic,70818,Sally P. Kerans,Sally P. Kerans (D-Danvers),Danvers,Democratic,70818,Sally P. Kerans,Sally P. Kerans (D-Danvers),Danvers,18746,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fourteenth Essex,14th Essex,58769,165338,2024-11-05,FALSE,27440,8639,204,1,110204,Adrianne Pusateri Ramos,Adrianne Pusateri Ramos (D-North Andover),North Andover,18597,1,Democratic,110204,Adrianne Pusateri Ramos,Adrianne Pusateri Ramos (D-North Andover),North Andover,Democratic,110204,Adrianne Pusateri Ramos,Adrianne Pusateri Ramos (D-North Andover),North Andover,18597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Fifteenth Essex,15th Essex,58770,165495,2024-11-05,FALSE,24501,7481,449,1,88390,Ryan M. Hamilton,Ryan M. Hamilton (D-Methuen),Methuen,16571,1,Democratic,88390,Ryan M. Hamilton,Ryan M. Hamilton (D-Methuen),Methuen,Democratic,88390,Ryan M. Hamilton,Ryan M. Hamilton (D-Methuen),Methuen,16571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Sixteenth Essex,16th Essex,58771,165503,2024-11-05,FALSE,13378,2698,493,1,88397,Francisco E. Paulino,Francisco E. Paulino (D-Methuen),Methuen,10187,1,Democratic,88397,Francisco E. Paulino,Francisco E. Paulino (D-Methuen),Methuen,Democratic,88397,Francisco E. Paulino,Francisco E. Paulino (D-Methuen),Methuen,10187,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Seventeenth Essex,17th Essex,58772,165348,2024-11-05,FALSE,13116,3004,242,1,74549,Frank A. Moran,Frank A. Moran (D-Lawrence),Lawrence,9870,1,Democratic,74549,Frank A. Moran,Frank A. Moran (D-Lawrence),Lawrence,Democratic,74549,Frank A. Moran,Frank A. Moran (D-Lawrence),Lawrence,9870,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,Eighteenth Essex,18th Essex,58773,165347,2024-11-05,FALSE,26753,7361,394,1,78568,Tram T. Nguyen,Tram T. Nguyen (D-Andover),Andover,18998,1,Democratic,78568,Tram T. Nguyen,Tram T. Nguyen (D-Andover),Andover,Democratic,78568,Tram T. Nguyen,Tram T. Nguyen (D-Andover),Andover,18998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,First Franklin,1st Franklin,58774,165366,2024-11-05,FALSE,26131,4920,214,1,78585,Natalie M. Blais,Natalie M. Blais (D-Deerfield),Deerfield,20997,1,Democratic,78585,Natalie M. Blais,Natalie M. Blais (D-Deerfield),Deerfield,Democratic,78585,Natalie M. Blais,Natalie M. Blais (D-Deerfield),Deerfield,20997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
