office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,total_votes,blank_votes,all_other_votes,num_candidates,id_winner,name_winner,city_town_winner,party_winner,id_incumbent,name_incumbent,city_town_incumbent,party_incumbent,id_dem,name_dem,city_town_dem,votes_dem,percent_dem,id_gop,name_gop,city_town_gop,votes_gop,percent_gop,id_third_party,name_third_party,city_town_third_party,votes_third_party,percent_third_party,party_third_party,id_write_in,name_write_in,city_town_write_in,votes_write_in,percent_write_in,party_write_in,election_year,incumbent_status,dem_win,dem_margin,pres_elec,pvi_year,PVI_N,PVI
Legislative,8,State Representative,Fourth Hampden,4th Hampden,58779,104699,2008-11-04,FALSE,17688,1072,15,2,62772,"Donald F. Humason, Jr.",Westfield,Republican,62772,"Donald F. Humason, Jr.",Westfield,Republican,63127,Brian R. Hoose,Westfield,5080,0.30600566230949944,62772,"Donald F. Humason, Jr.",Westfield,11521,0.6939943376905006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.3879886753810011,TRUE,2008,3.202773297220829,D+3
Legislative,8,State Representative,Tenth Hampden,10th Hampden,58785,104693,2008-11-04,FALSE,9489,1331,36,2,72116,Cheryl Rivera,Springfield,Democratic,72116,Cheryl Rivera,Springfield,Democratic,72116,Cheryl Rivera,Springfield,6926,0.8527456291553804,63128,George Vazquez,Springfield,1196,0.14725437084461956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.7054912583107609,TRUE,2008,29.18849921181276,D+29
Legislative,8,State Representative,First Middlesex,1st Middlesex,58791,104537,2008-11-04,FALSE,22793,1266,14,3,63131,Robert S. Hargraves,Groton,Republican,63131,Robert S. Hargraves,Groton,Republican,63133,Virginia C. Wood,Groton,8808,0.4094268581787756,63131,Robert S. Hargraves,Groton,11479,0.533584344349928,63132,Zachary E. Saboliauskas,Pepperell,1226,0.05698879747129642,Unenrolled,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.12415748617115235,TRUE,2008,0.7922382452249299,D+1
Legislative,8,State Representative,Second Middlesex,2nd Middlesex,58792,104605,2008-11-04,FALSE,24449,1696,11,2,62796,James Arciero,Westford,Democratic,NA,NA,NA,NA,62796,James Arciero,Westford,12094,0.5317913991733357,63134,Paul J. Avella,Littleton,10648,0.4682086008266643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.06358279834667141,TRUE,2008,3.4141059980491217,D+3
Legislative,8,State Representative,Third Middlesex,3rd Middlesex,58793,104561,2008-11-04,FALSE,22419,1059,9,3,62797,Kate Hogan,Stow,Democratic,NA,NA,NA,NA,62797,Kate Hogan,Stow,10166,0.4761369490890357,63139,Sonny Parente,Hudson,9288,0.4350147534073346,63138,David A. Goulding,Bolton,1897,0.08884829750362981,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.04112219568170111,TRUE,2008,9.051281651679622,D+9
Legislative,8,State Representative,Fourth Middlesex,4th Middlesex,58794,104555,2008-11-04,FALSE,20092,1245,23,3,62799,Danielle W. Gregoire,Marlborough,Democratic,NA,NA,NA,NA,62799,Danielle W. Gregoire,Marlborough,9044,0.4804504887377816,63143,Arthur G. Vigeant,Marlborough,8296,0.4407139821504462,78142,Joseph L. Valianti,Marlborough,1484,0.0788355291117722,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.03973650658733541,TRUE,2008,6.812999431639044,D+7
Legislative,8,State Representative,Sixth Middlesex,6th Middlesex,58796,104635,2008-11-04,FALSE,18520,5125,347,2,73606,Pam Richardson,Framingham,Democratic,73606,Pam Richardson,Framingham,Democratic,73606,Pam Richardson,Framingham,12707,0.97386572654813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62802,James M. Pillsbury,Framingham,341,0.02613427345187002,Democratic,2008,Dem_Incumbent,TRUE,0.94773145309626,TRUE,2008,15.719631580426965,D+16
Legislative,8,State Representative,Eighth Middlesex,8th Middlesex,58798,104645,2008-11-04,FALSE,23845,1463,17,2,62808,Carolyn C. Dykema,Holliston,Democratic,NA,NA,NA,NA,62808,Carolyn C. Dykema,Holliston,11680,0.5222445785826068,63145,Dan Haley,Holliston,10685,0.4777554214173933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.044489157165213455,TRUE,2008,4.816903549470519,D+5
Legislative,8,State Representative,Thirteenth Middlesex,13th Middlesex,58803,104653,2008-11-04,FALSE,21991,1207,20,2,62816,Thomas P. Conroy,Wayland,Democratic,62816,Thomas P. Conroy,Wayland,Democratic,62816,Thomas P. Conroy,Wayland,12225,0.5887593912540936,63147,Susan W. Pope,Wayland,8539,0.4112406087459064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.1775187825081872,TRUE,2008,15.617782533932644,D+16
Legislative,8,State Representative,Fourteenth Middlesex,14th Middlesex,58804,104466,2008-11-04,FALSE,23915,2710,40,2,62817,Cory Atkins,Concord,Democratic,62817,Cory Atkins,Concord,Democratic,62817,Cory Atkins,Concord,13868,0.6552326954878337,NA,NA,NA,NA,NA,63148,Richard P. McClure,Chelmsford,7297,0.3447673045121663,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.3104653909756674,TRUE,2008,14.09345922411992,D+14
Legislative,8,State Representative,Eighteenth Middlesex,18th Middlesex,58808,104654,2008-11-04,FALSE,9522,1626,3,2,62822,Kevin J. Murphy,Lowell,Democratic,62822,Kevin J. Murphy,Lowell,Democratic,62822,Kevin J. Murphy,Lowell,6604,0.8366907386291651,NA,NA,NA,NA,NA,63149,Kenneth J. Patrician,Lowell,1289,0.16330926137083493,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.6733814772583302,TRUE,2008,17.27212919983483,D+17
Legislative,8,State Representative,Twentieth Middlesex,20th Middlesex,58810,104660,2008-11-04,FALSE,25058,2063,17,2,62825,"Bradley H. Jones, Jr.",North Reading,Republican,62825,"Bradley H. Jones, Jr.",North Reading,Republican,63150,Claire M. Paradiso,Reading,6597,0.28710070502219515,62825,"Bradley H. Jones, Jr.",North Reading,16381,0.7128992949778049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.42579858995560976,TRUE,2008,-0.4907032507340481,EVEN
Legislative,8,State Representative,Twenty-Second Middlesex,22nd Middlesex,58812,104559,2008-11-04,FALSE,19546,1204,15,2,63151,"William G. Greene, Jr.",Billerica,Democratic,63151,"William G. Greene, Jr.",Billerica,Democratic,63151,"William G. Greene, Jr.",Billerica,11836,0.6458231025263272,63152,Anthony Lucacio,Billerica,6491,0.3541768974736727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.29164620505265454,TRUE,2008,0.6062346112659767,D+1
Legislative,8,State Representative,Thirty-First Middlesex,31st Middlesex,58821,104694,2008-11-04,FALSE,22712,1613,24,3,62845,Jason M. Lewis,Winchester,Democratic,NA,NA,NA,NA,62845,Jason M. Lewis,Winchester,10858,0.5152075919335706,63155,Brian P. O'Connor,Winchester,5147,0.24422301304863583,63156,Chad Riley,Winchester,5070,0.2405693950177936,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.27098457888493477,TRUE,2008,7.732164906878348,D+8
Legislative,8,State Representative,Thirty-Seventh Middlesex,37th Middlesex,58827,104467,2008-11-04,FALSE,22594,1609,17,2,62859,Jennifer E. Benson,Lunenburg,Democratic,NA,NA,NA,NA,62859,Jennifer E. Benson,Lunenburg,11700,0.5579931323922167,62860,Kurt Hayes,Boxborough,9268,0.4420068676077833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.11598626478443341,TRUE,2008,9.062467748523083,D+9
Legislative,8,State Representative,Fourth Norfolk,4th Norfolk,58831,104700,2008-11-04,FALSE,19620,1628,35,2,62869,James Michael Murphy,Weymouth,Democratic,62869,James Michael Murphy,Weymouth,Democratic,62869,James Michael Murphy,Weymouth,13385,0.7453917692264855,62868,Robert Montgomery Thomas,Weymouth,4572,0.2546082307735145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.490783538452971,TRUE,2008,5.420592762081111,D+5
Legislative,8,State Representative,Fifth Norfolk,5th Norfolk,58832,104590,2008-11-04,FALSE,21893,2632,36,2,63160,"Joseph R. Driscoll, Jr.",Braintree,Democratic,63160,"Joseph R. Driscoll, Jr.",Braintree,Democratic,63160,"Joseph R. Driscoll, Jr.",Braintree,15280,0.7947984395318596,NA,NA,NA,NA,NA,63161,Richard A. Moran,Braintree,3945,0.20520156046814045,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.5895968790637192,TRUE,2008,4.021857633781789,D+4
Legislative,8,State Representative,Ninth Norfolk,9th Norfolk,58836,104666,2008-11-04,FALSE,22137,1444,31,2,63061,Richard J. Ross,Wrentham,Republican,63061,Richard J. Ross,Wrentham,Republican,NA,NA,NA,NA,NA,63061,Richard J. Ross,Wrentham,12688,0.6140741457748524,63162,Thomas Joseph Roache,Medfield,7974,0.3859258542251477,Unenrolled,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.22814829154970473,TRUE,2008,-1.5595815492477738,R+2
Legislative,8,State Representative,First Plymouth,1st Plymouth,58843,104684,2008-11-04,FALSE,23177,1267,14,2,72138,Vinny M. deMacedo,Plymouth,Republican,72138,Vinny M. deMacedo,Plymouth,Republican,63165,Jay D. Ferguson,Plymouth,7118,0.3250822067957618,72138,Vinny M. deMacedo,Plymouth,14778,0.6749177932042382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.3498355864084764,TRUE,2008,2.341211195978188,D+2
Legislative,8,State Representative,Fourth Plymouth,4th Plymouth,58846,104665,2008-11-04,FALSE,24056,1371,24,2,62899,James M. Cantwell,Marshfield,Democratic,NA,NA,NA,NA,62899,James M. Cantwell,Marshfield,13988,0.6172719650500861,NA,NA,NA,NA,NA,63169,John M. Valianti,Marshfield,8673,0.382728034949914,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.2345439301001721,TRUE,2008,0.662218312505658,D+1
Legislative,8,State Representative,Ninth Plymouth,9th Plymouth,58851,104595,2008-11-04,FALSE,14350,1405,21,2,62910,Michael D. Brady,Brockton,Democratic,NA,NA,NA,NA,62910,Michael D. Brady,Brockton,10820,0.8372021046115754,63171,Lawrence P. Novak,Brockton,2104,0.16279789538842462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.6744042092231508,TRUE,2008,17.04942309516134,D+17
Legislative,8,State Representative,Second Worcester,2nd Worcester,58875,104513,2008-11-04,FALSE,18717,2265,10,2,63179,Robert L. Rice,Gardner,Democratic,63179,Robert L. Rice,Gardner,Democratic,63179,Robert L. Rice,Gardner,11921,0.7250334509183798,NA,NA,NA,NA,NA,62962,Carolyn A. Kamuda,Gardner,4521,0.2749665490816202,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.45006690183675957,TRUE,2008,6.050482657624123,D+6
Legislative,8,State Representative,Fourth Worcester,4th Worcester,58877,104651,2008-11-04,FALSE,18352,1187,21,2,62966,Dennis A. Rosa,Leominster,Democratic,NA,NA,NA,NA,62966,Dennis A. Rosa,Leominster,9671,0.5641040597293514,NA,NA,NA,NA,NA,63181,Claire M. Freda,Leominster,7473,0.4358959402706486,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.1282081194587028,TRUE,2008,5.923092514466544,D+6
Legislative,8,State Representative,Fifth Worcester,5th Worcester,58878,104544,2008-11-04,FALSE,20458,1141,6,2,62967,Anne M. Gobi,Spencer,Democratic,62967,Anne M. Gobi,Spencer,Democratic,62967,Anne M. Gobi,Spencer,13577,0.7030707886696701,63182,"Stephen J. Comtois, II",Brookfield,5734,0.29692921133032985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.40614157733934025,TRUE,2008,1.866213443835052,D+2
Legislative,8,State Representative,Sixth Worcester,6th Worcester,58879,104603,2008-11-04,FALSE,19216,920,26,2,62969,Geraldo Alicea,Charlton,Democratic,62969,Geraldo Alicea,Charlton,Democratic,62969,Geraldo Alicea,Charlton,11047,0.6046524356869184,63183,Ronald J. Chernisky,Southbridge,7223,0.39534756431308155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.20930487137383685,TRUE,2008,2.639460889164702,D+3
Legislative,8,State Representative,Seventh Worcester,7th Worcester,58880,104529,2008-11-04,FALSE,20716,1423,7,2,62972,Paul K. Frost,Auburn,Republican,62972,Paul K. Frost,Auburn,Republican,63184,Daniel S. Carpenter,Auburn,6675,0.34610598361505757,62972,Paul K. Frost,Auburn,12611,0.6538940163849425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.3077880327698849,TRUE,2008,3.396980285282813,D+3
Legislative,8,State Representative,Eighth Worcester,8th Worcester,58881,104618,2008-11-04,FALSE,19513,1074,24,2,62973,Paul Kujawski,Webster,Democratic,62973,Paul Kujawski,Webster,Democratic,62973,Paul Kujawski,Webster,9823,0.5334238392614716,62974,Kevin J. Kuros,Uxbridge,8592,0.4665761607385284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.06684767852294321,TRUE,2008,0.6688956859580042,D+1
Legislative,8,State Representative,Thirteenth Worcester,13th Worcester,58886,104681,2008-11-04,FALSE,18956,4026,216,2,63189,Robert P. Spellane,Worcester,Democratic,63189,Robert P. Spellane,Worcester,Democratic,63189,Robert P. Spellane,Worcester,9015,0.6126817996465951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62988,"John J. Mahoney, Jr.",Worcester,5699,0.3873182003534049,Democratic,2008,Dem_Incumbent,TRUE,0.22536359929319016,TRUE,2008,13.60565739284384,D+14
Legislative,8,State Representative,Sixteenth Worcester,16th Worcester,58889,104702,2008-11-04,FALSE,11686,903,33,2,62994,John P. Fresolo,Worcester,Democratic,62994,John P. Fresolo,Worcester,Democratic,62994,John P. Fresolo,Worcester,7412,0.6894883720930233,NA,NA,NA,NA,NA,63190,Mathew T. Taylor,Worcester,3338,0.31051162790697673,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.37897674418604654,TRUE,2008,17.165194223606917,D+17
Legislative,9,State Senate,Bristol and Norfolk,Bristol and Norfolk,58695,104527,2008-11-04,FALSE,84775,7638,65,2,62999,James E. Timilty,Walpole,Democratic,62999,James E. Timilty,Walpole,Democratic,62999,James E. Timilty,Walpole,49761,0.6456430350840773,63191,"Jon W. Rockwood, Sr.",Walpole,27311,0.3543569649159228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.2912860701681545,TRUE,2008,3.172359683339121,D+3
Legislative,9,State Senate,Hampshire and Franklin,Hampshire and Franklin,58706,104493,2008-11-04,FALSE,79076,4934,72,2,63034,Stanley C. Rosenberg,Amherst,Democratic,63034,Stanley C. Rosenberg,Amherst,Democratic,63034,Stanley C. Rosenberg,Amherst,61958,0.836479006345349,63196,Keith C. McCormic,Greenfield,12112,0.163520993654651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.672958012690698,TRUE,2008,25.13255310800082,D+25
Legislative,9,State Senate,Third Middlesex,3rd Middlesex,58709,104546,2008-11-04,FALSE,85416,6736,104,2,63042,Susan C. Fargo,Lincoln,Democratic,63042,Susan C. Fargo,Lincoln,Democratic,63042,Susan C. Fargo,Lincoln,49132,0.6252799837100387,63043,Sandra B. Martinez,Chelmsford,29444,0.3747200162899613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.25055996742007736,TRUE,2008,11.762868071534571,D+12
Legislative,9,State Senate,Fourth Middlesex,4th Middlesex,58710,104510,2008-11-04,FALSE,86887,7672,109,2,63044,Kenneth J. Donnelly,Arlington,Democratic,NA,NA,NA,NA,63044,Kenneth J. Donnelly,Arlington,52690,0.6660683134022704,62827,Brion M Cangiamila,Billerica,26416,0.33393168659772965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.3321366268045407,TRUE,2008,11.226795343297535,D+11
Legislative,9,State Senate,Middlesex and Worcester,Middlesex and Worcester,58715,104468,2008-11-04,FALSE,88547,7027,73,2,63052,James B. Eldridge,Acton,Democratic,NA,NA,NA,NA,63052,James B. Eldridge,Acton,46458,0.5704077498250396,62800,Steven L. Levy,Marlborough,34989,0.4295922501749604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.14081549965007922,TRUE,2008,9.348768818955175,D+9
Legislative,9,State Senate,"Norfolk, Bristol and Middlesex","Norfolk, Bristol and Middlesex",58717,104528,2008-11-04,FALSE,90986,5821,81,2,63203,Scott P. Brown,Wrentham,Republican,63203,Scott P. Brown,Wrentham,Republican,63204,Sara Orozco,Needham,35289,0.4147548305204269,63203,Scott P. Brown,Wrentham,49795,0.5852451694795732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.17049033895914628,TRUE,2008,7.061749821640184,D+7
Legislative,9,State Senate,First Suffolk,1st Suffolk,58723,104582,2008-11-04,FALSE,65310,12150,314,2,72544,"John A. Hart, Jr.",Boston,Democratic,72544,"John A. Hart, Jr.",Boston,Democratic,72544,"John A. Hart, Jr.",Boston,41973,0.7942512205275707,NA,NA,NA,NA,NA,62927,Althea Garrison,Boston,10873,0.2057487794724293,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.5885024410551414,TRUE,2008,27.660020508844795,D+28
Legislative,9,State Senate,Second Suffolk,2nd Suffolk,58724,104584,2008-11-04,FALSE,70677,10147,597,3,73539,Sonia Rosa Chang-Diaz,Boston,Democratic,63206,Dianne Wilkerson,Boston,Democratic,73539,Sonia Rosa Chang-Diaz,Boston,55865,0.932124205362655,NA,NA,NA,NA,NA,63205,William Theodore Leonard,Boston,3080,0.0513907196369279,Unenrolled,63206,Dianne Wilkerson,Boston,988,0.01648507500041713,Democratic,2008,Dem_Incumbent,TRUE,0.8807334857257271,TRUE,2008,36.85142616636886,D+37
